material_id,cif_path,target
mp-1171226,materials_gnn/data/cifs_all/mp_1171226.cif,-2.723189552
mp-1187437,materials_gnn/data/cifs_all/mp_1187437.cif,-0.14072581
mp-1219193,materials_gnn/data/cifs_all/mp_1219193.cif,-0.340441519
mp-1212113,materials_gnn/data/cifs_all/mp_1212113.cif,1.177400332499999
mp-760135,materials_gnn/data/cifs_all/mp_760135.cif,-1.655841159
mp-1212006,materials_gnn/data/cifs_all/mp_1212006.cif,-2.109511753
mp-1522242,materials_gnn/data/cifs_all/mp_1522242.cif,-3.231998538
mp-773163,materials_gnn/data/cifs_all/mp_773163.cif,-1.860873097
mp-867963,materials_gnn/data/cifs_all/mp_867963.cif,-0.78062384
mp-37480,materials_gnn/data/cifs_all/mp_37480.cif,-0.714340674
mp-1206494,materials_gnn/data/cifs_all/mp_1206494.cif,-0.496047933
mp-3879,materials_gnn/data/cifs_all/mp_3879.cif,-3.391703464
mp-1522620,materials_gnn/data/cifs_all/mp_1522620.cif,-2.627510621
mp-540801,materials_gnn/data/cifs_all/mp_540801.cif,-0.247793395
mp-773501,materials_gnn/data/cifs_all/mp_773501.cif,-2.367837964
mp-1199668,materials_gnn/data/cifs_all/mp_1199668.cif,-2.996819331
mp-752886,materials_gnn/data/cifs_all/mp_752886.cif,-1.422257098
mp-758208,materials_gnn/data/cifs_all/mp_758208.cif,-2.459900935
mp-1017461,materials_gnn/data/cifs_all/mp_1017461.cif,0.492907039
mp-1175431,materials_gnn/data/cifs_all/mp_1175431.cif,-1.847284517
mp-2715815,materials_gnn/data/cifs_all/mp_2715815.cif,-2.673956091
mp-1201396,materials_gnn/data/cifs_all/mp_1201396.cif,-3.360467626
mp-1217542,materials_gnn/data/cifs_all/mp_1217542.cif,-0.039253016
mp-39259,materials_gnn/data/cifs_all/mp_39259.cif,-2.47014129
mp-1218283,materials_gnn/data/cifs_all/mp_1218283.cif,-3.009843353
mp-5170,materials_gnn/data/cifs_all/mp_5170.cif,-0.718578307
mp-1033650,materials_gnn/data/cifs_all/mp_1033650.cif,-1.980054246
mp-1135,materials_gnn/data/cifs_all/mp_1135.cif,-0.419109102
mp-780698,materials_gnn/data/cifs_all/mp_780698.cif,-2.210307547
mp-1180500,materials_gnn/data/cifs_all/mp_1180500.cif,0.016958182500000002
mp-17507,materials_gnn/data/cifs_all/mp_17507.cif,-2.158210942
mp-1217432,materials_gnn/data/cifs_all/mp_1217432.cif,-1.160619354
mp-1018657,materials_gnn/data/cifs_all/mp_1018657.cif,-0.759286298
mp-867202,materials_gnn/data/cifs_all/mp_867202.cif,0.026955652
mp-772240,materials_gnn/data/cifs_all/mp_772240.cif,-1.874092138
mp-1176579,materials_gnn/data/cifs_all/mp_1176579.cif,-0.938174987
mp-555863,materials_gnn/data/cifs_all/mp_555863.cif,-2.43231321
mp-1030982,materials_gnn/data/cifs_all/mp_1030982.cif,-2.423796013
mp-755523,materials_gnn/data/cifs_all/mp_755523.cif,-1.364380827
mp-864844,materials_gnn/data/cifs_all/mp_864844.cif,-0.33610898
